"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\WhenLoggedIn.jsx", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 7, 97
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\WhenLoggedIn.module.css", "CSS", 0, 0, 0, 119, 0, 0, 0, 2, 121
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\WithoutItemsUI\CartWithoutItems.jsx", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 3, 30
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\WithoutItemsUI\CartWithoutItems.module.css", "CSS", 0, 0, 0, 39, 0, 0, 1, 1, 41
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\WithoutItemsUI\WhenLoggedOut.jsx", "JavaScript", 0, 0, 95, 0, 0, 0, 1, 3, 99
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\WithoutItemsUI\WhenLoggedOut.module.css", "CSS", 0, 0, 0, 70, 0, 0, 1, 2, 73
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\AboutDiv.jsx", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 2, 37
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\AboutDiv.module.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 1, 32
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\BlogDiv.jsx", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 3, 49
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\BlogDiv.module.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 2, 34
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\Catalogues.module.css", "CSS", 0, 0, 0, 40, 0, 0, 1, 1, 42
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\CataloguesDiv.jsx", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 3, 57
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\Footer.module.css", "CSS", 0, 0, 0, 67, 0, 0, 5, 1, 73
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\FooterDiv.jsx", "JavaScript", 0, 0, 92, 0, 0, 0, 1, 4, 97
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\HeaderMiddle.jsx", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 2, 27
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\HeaderMiddle.module.css", "CSS", 0, 0, 0, 16, 0, 0, 5, 2, 23
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\MainHeader.jsx", "JavaScript", 0, 0, 105, 0, 0, 0, 8, 3, 116
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\MainHeader.module.css", "CSS", 0, 0, 0, 83, 0, 0, 3, 5, 91
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\ProductsDiv.jsx", "JavaScript", 0, 0, 16, 0, 0, 0, 1, 4, 21
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ParentComponents\ProductsDiv.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\BasicCard.jsx", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 3, 26
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\BasicCard.module.css", "CSS", 0, 0, 0, 24, 0, 0, 1, 1, 26
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\BasicProductsPage.jsx", "JavaScript", 0, 0, 100, 0, 0, 0, 8, 9, 117
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\BasicProductsPage.module.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 2, 50
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\CartProductItem.jsx", "JavaScript", 0, 0, 57, 0, 0, 0, 1, 4, 62
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\CartProductItem.module.css", "CSS", 0, 0, 0, 55, 0, 0, 4, 1, 60
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\DivCard.jsx", "JavaScript", 0, 0, 19, 0, 0, 0, 2, 3, 24
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\DivCard.module.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 1, 38
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\FavouriteCard.jsx", "JavaScript", 0, 0, 64, 0, 0, 0, 1, 4, 69
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\FavouriteCard.module.css", "CSS", 0, 0, 0, 78, 0, 0, 0, 1, 79
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\LiCard.jsx", "JavaScript", 0, 0, 9, 0, 0, 0, 1, 3, 13
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\LiCard.module.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 1, 13
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\ProductInfoPage.jsx", "JavaScript", 0, 0, 163, 0, 0, 0, 11, 9, 183
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\ProductInfoPage.module.css", "CSS", 0, 0, 0, 156, 0, 0, 2, 5, 163
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\SearchBar.module.css", "CSS", 0, 0, 0, 56, 0, 0, 2, 4, 62
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\SearchBarModal.jsx", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 7, 63
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\WithoutItems.jsx", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 3, 31
"f:\React-Projects\the-ordinary-site - Copy\src\Components\UI\WithoutItems.module.css", "CSS", 0, 0, 0, 39, 0, 0, 1, 1, 41
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\AboutOrdinary.jsx", "JavaScript", 0, 0, 51, 0, 0, 0, 1, 3, 55
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\AboutOrdinary.module.css", "CSS", 0, 0, 0, 23, 0, 0, 1, 1, 25
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\AccountsPage.jsx", "JavaScript", 0, 0, 52, 0, 0, 0, 1, 5, 58
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\AccountsPage.module.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 2, 20
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\BlogPage.jsx", "JavaScript", 0, 0, 44, 0, 0, 0, 1, 4, 49
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\BlogPage.module.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 2, 39
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\Cart.jsx", "JavaScript", 0, 0, 51, 0, 0, 0, 3, 7, 61
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\Cart.module.css", "CSS", 0, 0, 0, 141, 0, 0, 3, 5, 149
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\ContactUs.jsx", "JavaScript", 0, 0, 80, 0, 0, 0, 2, 5, 87
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\ContactUs.module.css", "CSS", 0, 0, 0, 144, 0, 0, 0, 1, 145
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\Favourites.jsx", "JavaScript", 0, 0, 57, 0, 0, 0, 2, 3, 62
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\Favourites.module.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 1, 12
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\MyOrders.jsx", "JavaScript", 0, 0, 80, 0, 0, 0, 10, 6, 96
"f:\React-Projects\the-ordinary-site - Copy\src\Components\WholePages\MyOrders.module.css", "CSS", 0, 0, 0, 110, 0, 0, 0, 3, 113
"f:\React-Projects\the-ordinary-site - Copy\src\MainRootElement.jsx", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 2, 22
"f:\React-Projects\the-ordinary-site - Copy\src\Store\ActionCreatorThunk.js", "JavaScript", 0, 0, 156, 0, 0, 0, 4, 7, 167
"f:\React-Projects\the-ordinary-site - Copy\src\Store\FormInputsSlice.jsx", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 4, 29
"f:\React-Projects\the-ordinary-site - Copy\src\Store\MainStore.jsx", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 1, 8
"f:\React-Projects\the-ordinary-site - Copy\src\Store\StoreSlice.jsx", "JavaScript", 0, 0, 525, 0, 0, 0, 6, 6, 537
"f:\React-Projects\the-ordinary-site - Copy\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\React-Projects\the-ordinary-site - Copy\src\index.css", "CSS", 0, 0, 0, 37, 0, 0, 3, 7, 47
"f:\React-Projects\the-ordinary-site - Copy\src\main.jsx", "JavaScript", 0, 0, 89, 0, 0, 0, 1, 3, 93
"f:\React-Projects\the-ordinary-site - Copy\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 10293, 14, 3536, 1905, 2, 14, 222, 353, 16339
